title,subtitle,item,item_desc,option0,option0_desc,option1,option1_desc,option2,option2_desc,option3,option3_desc
תחומים שבהם אשמח לסייע ,,,,,,,,,,,
,,host_meetings,ארגון חוגי בית ומפגשים,no,לא,maybe,אולי,yes,כן,,
,,digital_media_response,צוות תגובות במדיה הדיגיטאלית ,no,לא,maybe,אולי,yes,כן,,
,,info_booth_working_hours,איוש עמדות הסברה בלשכות האוכלוסין (בשעות הפעילות),no,לא,maybe,אולי,yes,כן,,
,,info_booth_free_time,איוש עמדות הסברה במקומות ציבוריים (בשעות אחר הצהריים ובסופי שבוע),no,לא,maybe,אולי,yes,כן,,
,,administrative_help,"עזרה אדמינסטרטיבית (טלפונים, מיילים וכדומה)",no,לא,maybe,אולי,yes,כן,,
,,liasion_other_groups,הרחבת מעגלי החשיפה וקישור לקבוצות שונות,no,לא,maybe,אולי,yes,כן,,
,,other_help,"אחר (נא לפרט בשדה ""הארות והערות"" שבתחתית הטופס)",no,לא,maybe,אולי,yes,כן,,
כישורים מקצועיים,אוכל/אשמח לתרום מכישורי המקצועיים למען המאבק במאגר הביומטרי,,,,,,,,,,
,,video_shooting,צילום וידאו,no,לא בשבילי,maybe,אוכל,yes,אשמח,has_camera,יש לי מצלמה
,,video_directing,בימוי סרטונים,no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,video_editing,עריכת וידאו,no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,legal_consulting,צוות חשיבה ויעוץ משפטי,no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,political_lobbying,"לובינג / קידום האינטרסים במוקדי קבלת החלטות
	
",no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,media_promoting,תקשורת,no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,computers_consulting,"אנשי מקצוע בתחום אבטחת המידע: יעוץ, כתיבת מכתבים למערכת וכדומה",no,לא בשבילי,maybe,אוכל,yes,אשמח,,
,,other_skills,"אחר (נא לפרט בשדה ""הארות והערות"" שבתחתית הטופס)
	
",no,לא בשבילי,maybe,אוכל,yes,אשמח,,
